Started,County,AcresBurned,Injuries,Fatalities,StructuresDestroyed,StructuresDamaged,PropetyValue Damage,Drought Index,Precipitation,Temperature,Heating Degree Days,Cooling Degree Days
201308,Tuolumne,258384.0,0.0,0.0,0.0,0.0,0.0,-3.23,0.38,74.4,2,235
201305,Losangeles,31135.0,0.0,0.0,0.0,0.0,0.0,-2.98,0.62,63.8,112,63
201307,Riverside,27736.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201308,Placer,27440.0,0.0,0.0,0.0,0.0,0.0,-3.23,0.38,74.4,2,235
201305,Ventura,28597.0,14.0,0.0,10.0,6.0,6459310.0,-2.98,0.62,63.8,112,63
201307,Fresno,22992.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201308,Riverside,21835.0,26.0,0.0,40.0,8.0,12761320.0,-3.23,0.38,74.4,2,235
201307,Siskiyou,14794.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201308,Humboldt,12503.0,0.0,0.0,0.0,0.0,0.0,-3.23,0.38,74.4,2,235
201308,Tehama,11429.0,5.0,0.0,0.0,0.0,0.0,-3.23,0.38,74.4,2,235
201309,Shasta,8073.0,6.0,0.0,201.0,10.0,38944300.0,-2.61,0.77,69.3,21,160
201307,Sandiego,7080.0,12.0,0.0,149.0,9.0,74263300.0,-3.51,0.28,78.0,0,289
201305,Tehama,6965.0,6.0,0.0,0.0,0.0,0.0,-2.98,0.62,63.8,112,63
201305,Kern,4346.0,4.0,0.0,0.0,0.0,0.0,-2.98,0.62,63.8,112,63
201311,Sonoma,3505.0,6.0,0.0,1.0,0.0,463820.0,-3.4,0.99,51.9,303,5
201305,Riverside,3955.0,2.0,0.0,1.0,0.0,282560.0,-2.98,0.62,63.8,112,63
201309,Contracosta,3111.0,0.0,0.0,0.0,0.0,0.0,-2.61,0.77,69.3,21,160
201305,Sandiego,4152.0,11.0,0.0,0.0,0.0,0.0,-2.98,0.62,63.8,112,63
201308,Butte,2634.0,8.0,0.0,7.0,0.0,1972740.0,-3.23,0.38,74.4,2,235
201310,Sandiego,2236.0,0.0,0.0,0.0,0.0,0.0,-2.93,0.26,58.5,166,20
201308,Tulare,2060.0,0.0,0.0,0.0,0.0,0.0,-3.23,0.38,74.4,2,235
201305,Santabarbara,2154.0,0.0,0.0,0.0,0.0,0.0,-2.98,0.62,63.8,112,63
201306,Mariposa,1708.0,1.0,0.0,0.0,0.0,0.0,-3.28,0.38,72.4,22,161
201312,Monterey,917.0,0.0,0.0,0.0,0.0,0.0,-4.37,0.44,44.1,498,0
201308,Kern,794.0,0.0,0.0,0.0,0.0,0.0,-3.23,0.38,74.4,2,235
201307,Kern,1324.0,5.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201307,Eldorado,735.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201306,Sanbernardino,534.0,0.0,0.0,0.0,1.0,87325.0,-3.28,0.38,72.4,22,161
201308,Plumas,513.0,0.0,0.0,0.0,0.0,0.0,-3.23,0.38,74.4,2,235
