Started,County,AcresBurned,Injuries,Fatalities,StructuresDestroyed,StructuresDamaged,PropetyValue Damage,Drought Index,Precipitation,Temperature,Heating Degree Days,Cooling Degree Days
201308,Tuolumne,258384.0,0.0,0.0,0.0,0.0,0.0,-2.76,0.1,65.7,63,85
201305,Losangeles,31135.0,0.0,0.0,0.0,0.0,0.0,-5.94,0.55,65.9,75,102
201307,Riverside,27736.0,0.0,0.0,0.0,0.0,0.0,-3.74,0.41,87.6,0,700
201308,Placer,27440.0,0.0,0.0,0.0,0.0,0.0,-2.18,0.06,69.1,23,149
201305,Ventura,28597.0,14.0,0.0,10.0,6.0,6459310.0,-6.54,0.35,62.2,125,38
201307,Fresno,22992.0,0.0,0.0,0.0,0.0,0.0,-5.86,0.21,76.4,0,352
201308,Riverside,21835.0,26.0,0.0,40.0,8.0,12761320.0,-2.84,0.94,85.3,0,630
201307,Siskiyou,14794.0,0.0,0.0,0.0,0.0,0.0,-2.3,0.21,72.1,9,229
201308,Humboldt,12503.0,0.0,0.0,0.0,0.0,0.0,-2.69,0.36,68.0,6,100
201308,Tehama,11429.0,5.0,0.0,0.0,0.0,0.0,-2.74,0.04,74.4,0,295
201309,Shasta,8073.0,6.0,0.0,201.0,10.0,38944300.0,-1.35,1.47,65.4,73,85
201307,Sandiego,7080.0,12.0,0.0,149.0,9.0,74263300.0,-4.92,0.39,77.4,0,383
201305,Tehama,6965.0,6.0,0.0,0.0,0.0,0.0,-2.74,0.85,64.0,120,88
201305,Kern,4346.0,4.0,0.0,0.0,0.0,0.0,-6.07,0.14,67.7,60,144
201311,Sonoma,3505.0,6.0,0.0,1.0,0.0,463820.0,-2.88,1.51,54.7,308,0
201305,Riverside,3955.0,2.0,0.0,1.0,0.0,282560.0,-3.92,0.13,74.3,10,299
201309,Contracosta,3111.0,0.0,0.0,0.0,0.0,0.0,-2.69,0.63,68.5,17,121
201305,Sandiego,4152.0,11.0,0.0,0.0,0.0,0.0,-4.48,0.58,66.6,60,109
201308,Butte,2634.0,8.0,0.0,7.0,0.0,1972740.0,-2.88,0.03,74.2,0,287
201310,Sandiego,2236.0,0.0,0.0,0.0,0.0,0.0,-3.07,1.05,63.0,105,44
201308,Tulare,2060.0,0.0,0.0,0.0,0.0,0.0,-4.63,0.42,71.2,10,201
201305,Santabarbara,2154.0,0.0,0.0,0.0,0.0,0.0,-6.48,0.13,61.6,128,24
201306,Mariposa,1708.0,1.0,0.0,0.0,0.0,0.0,-3.34,0.12,69.6,29,166
201312,Monterey,917.0,0.0,0.0,0.0,0.0,0.0,-4.96,0.32,48.4,516,0
201308,Kern,794.0,0.0,0.0,0.0,0.0,0.0,-5.74,0.13,78.8,0,429
201307,Kern,1324.0,5.0,0.0,0.0,0.0,0.0,-6.4,0.11,83.2,0,566
201307,Eldorado,735.0,0.0,0.0,0.0,0.0,0.0,-1.74,0.07,73.9,0,282
201306,Sanbernardino,534.0,0.0,0.0,0.0,1.0,87325.0,-3.81,0.0,84.7,0,592
201308,Plumas,513.0,0.0,0.0,0.0,0.0,0.0,-2.94,0.27,64.2,85,60
201307,Modoc,502.0,0.0,0.0,0.0,0.0,0.0,-1.53,0.32,70.8,15,194
201306,Sanluisobispo,500.0,0.0,0.0,0.0,0.0,0.0,-6.37,0.0,69.8,11,155
201307,Contracosta,766.0,0.0,0.0,0.0,0.0,0.0,-3.67,0.0,72.5,0,232
201306,Madera,557.0,0.0,0.0,1.0,0.0,150000.0,-4.05,0.05,70.7,20,190
201308,Sanbernardino,863.0,0.0,0.0,0.0,0.0,0.0,-2.74,0.94,84.8,0,613
201302,Inyo,406.0,2.0,0.0,0.0,0.0,0.0,-3.33,0.03,45.0,561,0
201310,Napa,376.0,0.0,0.0,0.0,0.0,0.0,-3.24,0.0,61.2,137,19
201305,Sanbenito,354.0,0.0,0.0,0.0,0.0,0.0,-4.17,0.03,62.8,116,49
201302,Riverside,311.0,0.0,0.0,0.0,0.0,0.0,-2.14,0.43,53.0,340,0
201310,Butte,305.0,0.0,0.0,4.0,0.0,993320.0,-2.55,0.45,60.3,173,27
201305,Sanjoaquin,303.0,0.0,0.0,0.0,0.0,0.0,-3.23,0.06,68.6,35,146
201306,Butte,298.0,0.0,0.0,9.0,0.0,2385000.0,-2.88,1.42,72.8,11,246
201301,Lake,296.0,0.0,0.0,0.0,0.0,0.0,-1.05,2.01,43.8,658,0
